Year,Year ending,Sex,Age Group,Offence Division,Offence Subdivision,Victim Reports
2017,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,815"
2017,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"2,674"
2017,September,Male,>45 years,B Property and deception offences,B40 Theft,"6,843"
2017,September,Male,>45 years,B Property and deception offences,B50 Deception,222
2017,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,517
2017,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,46
2017,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",116
2017,September,Male,>45 years,A Crimes against the person,Other crimes against the person,98
2017,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,949
2017,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"1,658"
2017,September,Male,>45 years,B Property and deception offences,B40 Theft,"3,297"
2017,September,Male,>45 years,B Property and deception offences,B50 Deception,128
2017,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,173
2017,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,13
2017,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",32
2017,September,Male,>45 years,A Crimes against the person,Other crimes against the person,34
2017,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,359
2017,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,798
2017,September,Male,>45 years,B Property and deception offences,B40 Theft,"1,266"
2017,September,Male,>45 years,B Property and deception offences,B50 Deception,82
2016,September,Female,<18 years,A Crimes against the person,A20 Assault and related offences,"2,776"
2016,September,Female,<18 years,A Crimes against the person,A30 Sexual offences,"2,608"
2016,September,Female,<18 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",281
2016,September,Female,<18 years,A Crimes against the person,Other crimes against the person,235
2016,September,Female,<18 years,B Property and deception offences,B10 Arson & B20 Property damage,92
2016,September,Female,<18 years,B Property and deception offences,B30 Burglary/Break and enter,99
2016,September,Female,<18 years,B Property and deception offences,B40 Theft,617
2016,September,Female,<18 years,B Property and deception offences,B50 Deception,28
2016,September,Female,18-44 years,A Crimes against the person,A20 Assault and related offences,"3,600"
2016,September,Female,18-44 years,A Crimes against the person,A30 Sexual offences,"1,091"
2016,September,Female,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",736
2016,September,Female,18-44 years,A Crimes against the person,Other crimes against the person,403
2016,September,Female,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,775"
2016,September,Female,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"1,281"
2016,September,Female,18-44 years,B Property and deception offences,B40 Theft,"6,543"
2016,September,Female,18-44 years,B Property and deception offences,B50 Deception,165
2016,September,Female,18-44 years,A Crimes against the person,A20 Assault and related offences,"5,436"
2016,September,Female,18-44 years,A Crimes against the person,A30 Sexual offences,913
2016,September,Female,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour","1,405"
2016,September,Female,18-44 years,A Crimes against the person,Other crimes against the person,462
2016,September,Female,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,998"
2016,September,Female,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"3,395"
2016,September,Female,18-44 years,B Property and deception offences,B40 Theft,"11,361"
2016,September,Female,18-44 years,B Property and deception offences,B50 Deception,265
2016,September,Female,18-44 years,A Crimes against the person,A20 Assault and related offences,"4,069"
2016,September,Female,18-44 years,A Crimes against the person,A30 Sexual offences,637
2016,September,Female,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour","1,096"
2016,September,Female,18-44 years,A Crimes against the person,Other crimes against the person,322
2016,September,Female,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"3,042"
2016,September,Female,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"3,381"
2016,September,Female,18-44 years,B Property and deception offences,B40 Theft,"8,424"
2016,September,Female,18-44 years,B Property and deception offences,B50 Deception,236
2016,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,"2,719"
2016,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,429
2016,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",720
2016,September,Female,>45 years,A Crimes against the person,Other crimes against the person,196
2016,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,662"
2016,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"2,704"
2016,September,Female,>45 years,B Property and deception offences,B40 Theft,"6,869"
2016,September,Female,>45 years,B Property and deception offences,B50 Deception,182
2016,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,"1,042"
2016,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,140
2016,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",271
2016,September,Female,>45 years,A Crimes against the person,Other crimes against the person,109
2016,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,612"
2016,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"1,933"
2016,September,Female,>45 years,B Property and deception offences,B40 Theft,"4,141"
2016,September,Female,>45 years,B Property and deception offences,B50 Deception,114
2016,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,383
2016,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,52
2016,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",98
2016,September,Female,>45 years,A Crimes against the person,Other crimes against the person,40
2016,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,729
2016,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"1,179"
2016,September,Female,>45 years,B Property and deception offences,B40 Theft,"1,951"
2016,September,Female,>45 years,B Property and deception offences,B50 Deception,71
2016,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,175
2016,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,58
2016,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",32
2016,September,Female,>45 years,A Crimes against the person,Other crimes against the person,26
2016,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,328
2016,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,793
2016,September,Female,>45 years,B Property and deception offences,B40 Theft,939
2016,September,Female,>45 years,B Property and deception offences,B50 Deception,58
2016,September,Male,<18 years,A Crimes against the person,A20 Assault and related offences,"3,120"
2016,September,Male,<18 years,A Crimes against the person,A30 Sexual offences,721
2016,September,Male,<18 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",174
2016,September,Male,<18 years,A Crimes against the person,Other crimes against the person,578
2016,September,Male,<18 years,B Property and deception offences,B10 Arson & B20 Property damage,76
2016,September,Male,<18 years,B Property and deception offences,B30 Burglary/Break and enter,110
2016,September,Male,<18 years,B Property and deception offences,B40 Theft,"1,114"
2016,September,Male,<18 years,B Property and deception offences,B50 Deception,19
2016,September,Male,18-44 years,A Crimes against the person,A20 Assault and related offences,"3,125"
2016,September,Male,18-44 years,A Crimes against the person,A30 Sexual offences,118
2016,September,Male,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",289
2016,September,Male,18-44 years,A Crimes against the person,Other crimes against the person,892
2016,September,Male,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,524"
2016,September,Male,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"1,290"
2016,September,Male,18-44 years,B Property and deception offences,B40 Theft,"9,634"
2016,September,Male,18-44 years,B Property and deception offences,B50 Deception,173
2016,September,Male,18-44 years,A Crimes against the person,A20 Assault and related offences,"4,771"
2016,September,Male,18-44 years,A Crimes against the person,A30 Sexual offences,126
2016,September,Male,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",504
2016,September,Male,18-44 years,A Crimes against the person,Other crimes against the person,959
2016,September,Male,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"3,041"
2016,September,Male,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"4,415"
2016,September,Male,18-44 years,B Property and deception offences,B40 Theft,"19,376"
2016,September,Male,18-44 years,B Property and deception offences,B50 Deception,414
2016,September,Male,18-44 years,A Crimes against the person,A20 Assault and related offences,"3,539"
2016,September,Male,18-44 years,A Crimes against the person,A30 Sexual offences,150
2016,September,Male,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",510
2016,September,Male,18-44 years,A Crimes against the person,Other crimes against the person,578
2016,September,Male,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,820"
2016,September,Male,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"4,324"
2016,September,Male,18-44 years,B Property and deception offences,B40 Theft,"14,301"
2016,September,Male,18-44 years,B Property and deception offences,B50 Deception,265
2016,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,"2,872"
2016,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,174
2016,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",427
2016,September,Male,>45 years,A Crimes against the person,Other crimes against the person,385
2016,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,788"
2016,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"3,876"
2016,September,Male,>45 years,B Property and deception offences,B40 Theft,"11,725"
2016,September,Male,>45 years,B Property and deception offences,B50 Deception,234
2016,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,"1,332"
2016,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,83
2016,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",239
2016,September,Male,>45 years,A Crimes against the person,Other crimes against the person,187
2016,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,961"
2016,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"3,090"
2016,September,Male,>45 years,B Property and deception offences,B40 Theft,"7,790"
2016,September,Male,>45 years,B Property and deception offences,B50 Deception,176
2016,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,489
2016,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,30
2016,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",115
2016,September,Male,>45 years,A Crimes against the person,Other crimes against the person,64
2016,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,040"
2016,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"1,793"
2016,September,Male,>45 years,B Property and deception offences,B40 Theft,"3,704"
2016,September,Male,>45 years,B Property and deception offences,B50 Deception,80
2016,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,139
2016,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,8
2016,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",24
2016,September,Male,>45 years,A Crimes against the person,Other crimes against the person,33
2016,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,383
2016,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,883
2016,September,Male,>45 years,B Property and deception offences,B40 Theft,"1,379"
2016,September,Male,>45 years,B Property and deception offences,B50 Deception,56
2015,September,Female,<18 years,A Crimes against the person,A20 Assault and related offences,"2,199"
2015,September,Female,<18 years,A Crimes against the person,A30 Sexual offences,"2,114"
2015,September,Female,<18 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",276
2015,September,Female,<18 years,A Crimes against the person,Other crimes against the person,196
2015,September,Female,<18 years,B Property and deception offences,B10 Arson & B20 Property damage,69
2015,September,Female,<18 years,B Property and deception offences,B30 Burglary/Break and enter,95
2015,September,Female,<18 years,B Property and deception offences,B40 Theft,599
2015,September,Female,<18 years,B Property and deception offences,B50 Deception,22
2015,September,Female,18-44 years,A Crimes against the person,A20 Assault and related offences,"3,303"
2015,September,Female,18-44 years,A Crimes against the person,A30 Sexual offences,906
2015,September,Female,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",734
2015,September,Female,18-44 years,A Crimes against the person,Other crimes against the person,314
2015,September,Female,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,675"
2015,September,Female,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"1,275"
2015,September,Female,18-44 years,B Property and deception offences,B40 Theft,"5,820"
2015,September,Female,18-44 years,B Property and deception offences,B50 Deception,160
2015,September,Female,18-44 years,A Crimes against the person,A20 Assault and related offences,"4,867"
2015,September,Female,18-44 years,A Crimes against the person,A30 Sexual offences,836
2015,September,Female,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour","1,173"
2015,September,Female,18-44 years,A Crimes against the person,Other crimes against the person,363
2015,September,Female,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,866"
2015,September,Female,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"3,009"
2015,September,Female,18-44 years,B Property and deception offences,B40 Theft,"9,411"
2015,September,Female,18-44 years,B Property and deception offences,B50 Deception,249
2015,September,Female,18-44 years,A Crimes against the person,A20 Assault and related offences,"3,739"
2015,September,Female,18-44 years,A Crimes against the person,A30 Sexual offences,570
2015,September,Female,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour","1,014"
2015,September,Female,18-44 years,A Crimes against the person,Other crimes against the person,241
2015,September,Female,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,826"
2015,September,Female,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"3,053"
2015,September,Female,18-44 years,B Property and deception offences,B40 Theft,"7,281"
2015,September,Female,18-44 years,B Property and deception offences,B50 Deception,155
2015,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,"2,239"
2015,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,380
2015,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",605
2015,September,Female,>45 years,A Crimes against the person,Other crimes against the person,154
2015,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,472"
2015,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"2,480"
2015,September,Female,>45 years,B Property and deception offences,B40 Theft,"5,738"
2015,September,Female,>45 years,B Property and deception offences,B50 Deception,152
2015,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,876
2015,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,163
2015,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",281
2015,September,Female,>45 years,A Crimes against the person,Other crimes against the person,101
2015,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,422"
2015,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"1,786"
2015,September,Female,>45 years,B Property and deception offences,B40 Theft,"3,568"
2015,September,Female,>45 years,B Property and deception offences,B50 Deception,92
2015,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,280
2015,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,31
2015,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",96
2015,September,Female,>45 years,A Crimes against the person,Other crimes against the person,37
2015,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,642
2015,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,917
2015,September,Female,>45 years,B Property and deception offences,B40 Theft,"1,552"
2015,September,Female,>45 years,B Property and deception offences,B50 Deception,42
2015,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,125
2015,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,48
2015,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",17
2015,September,Female,>45 years,A Crimes against the person,Other crimes against the person,24
2015,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,384
2015,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,708
2015,September,Female,>45 years,B Property and deception offences,B40 Theft,942
2015,September,Female,>45 years,B Property and deception offences,B50 Deception,39
2015,September,Male,<18 years,A Crimes against the person,A20 Assault and related offences,"2,478"
2015,September,Male,<18 years,A Crimes against the person,A30 Sexual offences,584
2015,September,Male,<18 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",170
2015,September,Male,<18 years,A Crimes against the person,Other crimes against the person,497
2015,September,Male,<18 years,B Property and deception offences,B10 Arson & B20 Property damage,66
2015,September,Male,<18 years,B Property and deception offences,B30 Burglary/Break and enter,122
2015,September,Male,<18 years,B Property and deception offences,B40 Theft,"1,106"
2015,September,Male,<18 years,B Property and deception offences,B50 Deception,16
2015,September,Male,18-44 years,A Crimes against the person,A20 Assault and related offences,"2,849"
2015,September,Male,18-44 years,A Crimes against the person,A30 Sexual offences,110
2015,September,Male,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",240
2015,September,Male,18-44 years,A Crimes against the person,Other crimes against the person,670
2015,September,Male,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,517"
2015,September,Male,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"1,223"
2015,September,Male,18-44 years,B Property and deception offences,B40 Theft,"7,880"
2015,September,Male,18-44 years,B Property and deception offences,B50 Deception,192
2015,September,Male,18-44 years,A Crimes against the person,A20 Assault and related offences,"4,481"
2015,September,Male,18-44 years,A Crimes against the person,A30 Sexual offences,116
2015,September,Male,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",471
2015,September,Male,18-44 years,A Crimes against the person,Other crimes against the person,700
2015,September,Male,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,700"
2015,September,Male,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"3,904"
2015,September,Male,18-44 years,B Property and deception offences,B40 Theft,"16,037"
2015,September,Male,18-44 years,B Property and deception offences,B50 Deception,322
2015,September,Male,18-44 years,A Crimes against the person,A20 Assault and related offences,"3,354"
2015,September,Male,18-44 years,A Crimes against the person,A30 Sexual offences,149
2015,September,Male,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",505
2015,September,Male,18-44 years,A Crimes against the person,Other crimes against the person,420
2015,September,Male,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,793"
2015,September,Male,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"3,820"
2015,September,Male,18-44 years,B Property and deception offences,B40 Theft,"12,052"
2015,September,Male,18-44 years,B Property and deception offences,B50 Deception,234
2015,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,"2,613"
2015,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,147
2015,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",401
2015,September,Male,>45 years,A Crimes against the person,Other crimes against the person,301
2015,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,602"
2015,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"3,441"
2015,September,Male,>45 years,B Property and deception offences,B40 Theft,"9,526"
2015,September,Male,>45 years,B Property and deception offences,B50 Deception,207
2015,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,"1,206"
2015,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,78
2015,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",234
2015,September,Male,>45 years,A Crimes against the person,Other crimes against the person,155
2015,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,872"
2015,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"2,611"
2015,September,Male,>45 years,B Property and deception offences,B40 Theft,"6,376"
2015,September,Male,>45 years,B Property and deception offences,B50 Deception,150
2015,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,459
2015,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,26
2015,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",97
2015,September,Male,>45 years,A Crimes against the person,Other crimes against the person,60
2015,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,937
2015,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"1,643"
2015,September,Male,>45 years,B Property and deception offences,B40 Theft,"2,992"
2015,September,Male,>45 years,B Property and deception offences,B50 Deception,72
2015,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,146
2015,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,4
2015,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",28
2015,September,Male,>45 years,A Crimes against the person,Other crimes against the person,37
2015,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,393
2015,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,736
2015,September,Male,>45 years,B Property and deception offences,B40 Theft,"1,119"
2015,September,Male,>45 years,B Property and deception offences,B50 Deception,44
2014,September,Female,<18 years,A Crimes against the person,A20 Assault and related offences,"2,107"
2014,September,Female,<18 years,A Crimes against the person,A30 Sexual offences,"1,961"
2014,September,Female,<18 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",305
2014,September,Female,<18 years,A Crimes against the person,Other crimes against the person,214
2014,September,Female,<18 years,B Property and deception offences,B10 Arson & B20 Property damage,84
2014,September,Female,<18 years,B Property and deception offences,B30 Burglary/Break and enter,114
2014,September,Female,<18 years,B Property and deception offences,B40 Theft,692
2014,September,Female,<18 years,B Property and deception offences,B50 Deception,19
2014,September,Female,18-44 years,A Crimes against the person,A20 Assault and related offences,"3,405"
2014,September,Female,18-44 years,A Crimes against the person,A30 Sexual offences,906
2014,September,Female,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",790
2014,September,Female,18-44 years,A Crimes against the person,Other crimes against the person,359
2014,September,Female,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,836"
2014,September,Female,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"1,247"
2014,September,Female,18-44 years,B Property and deception offences,B40 Theft,"5,837"
2014,September,Female,18-44 years,B Property and deception offences,B50 Deception,167
2014,September,Female,18-44 years,A Crimes against the person,A20 Assault and related offences,"4,521"
2014,September,Female,18-44 years,A Crimes against the person,A30 Sexual offences,708
2014,September,Female,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour","1,127"
2014,September,Female,18-44 years,A Crimes against the person,Other crimes against the person,358
2014,September,Female,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,762"
2014,September,Female,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"2,926"
2014,September,Female,18-44 years,B Property and deception offences,B40 Theft,"8,864"
2014,September,Female,18-44 years,B Property and deception offences,B50 Deception,188
2014,September,Female,18-44 years,A Crimes against the person,A20 Assault and related offences,"3,660"
2014,September,Female,18-44 years,A Crimes against the person,A30 Sexual offences,511
2014,September,Female,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",991
2014,September,Female,18-44 years,A Crimes against the person,Other crimes against the person,241
2014,September,Female,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"3,043"
2014,September,Female,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"2,971"
2014,September,Female,18-44 years,B Property and deception offences,B40 Theft,"7,177"
2014,September,Female,18-44 years,B Property and deception offences,B50 Deception,150
2014,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,"2,211"
2014,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,310
2014,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",562
2014,September,Female,>45 years,A Crimes against the person,Other crimes against the person,175
2014,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,466"
2014,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"2,433"
2014,September,Female,>45 years,B Property and deception offences,B40 Theft,"5,415"
2014,September,Female,>45 years,B Property and deception offences,B50 Deception,135
2014,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,784
2014,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,134
2014,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",231
2014,September,Female,>45 years,A Crimes against the person,Other crimes against the person,96
2014,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,506"
2014,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"1,618"
2014,September,Female,>45 years,B Property and deception offences,B40 Theft,"3,466"
2014,September,Female,>45 years,B Property and deception offences,B50 Deception,107
2014,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,243
2014,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,34
2014,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",82
2014,September,Female,>45 years,A Crimes against the person,Other crimes against the person,39
2014,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,628
2014,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,877
2014,September,Female,>45 years,B Property and deception offences,B40 Theft,"1,521"
2014,September,Female,>45 years,B Property and deception offences,B50 Deception,41
2014,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,118
2014,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,46
2014,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",29
2014,September,Female,>45 years,A Crimes against the person,Other crimes against the person,18
2014,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,344
2014,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,731
2014,September,Female,>45 years,B Property and deception offences,B40 Theft,896
2014,September,Female,>45 years,B Property and deception offences,B50 Deception,37
2014,September,Male,<18 years,A Crimes against the person,A20 Assault and related offences,"2,447"
2014,September,Male,<18 years,A Crimes against the person,A30 Sexual offences,489
2014,September,Male,<18 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",157
2014,September,Male,<18 years,A Crimes against the person,Other crimes against the person,505
2014,September,Male,<18 years,B Property and deception offences,B10 Arson & B20 Property damage,68
2014,September,Male,<18 years,B Property and deception offences,B30 Burglary/Break and enter,101
2014,September,Male,<18 years,B Property and deception offences,B40 Theft,"1,030"
2014,September,Male,<18 years,B Property and deception offences,B50 Deception,17
2014,September,Male,18-44 years,A Crimes against the person,A20 Assault and related offences,"3,228"
2014,September,Male,18-44 years,A Crimes against the person,A30 Sexual offences,94
2014,September,Male,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",276
2014,September,Male,18-44 years,A Crimes against the person,Other crimes against the person,751
2014,September,Male,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,543"
2014,September,Male,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"1,168"
2014,September,Male,18-44 years,B Property and deception offences,B40 Theft,"7,830"
2014,September,Male,18-44 years,B Property and deception offences,B50 Deception,193
2014,September,Male,18-44 years,A Crimes against the person,A20 Assault and related offences,"4,589"
2014,September,Male,18-44 years,A Crimes against the person,A30 Sexual offences,102
2014,September,Male,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",422
2014,September,Male,18-44 years,A Crimes against the person,Other crimes against the person,717
2014,September,Male,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,955"
2014,September,Male,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"3,729"
2014,September,Male,18-44 years,B Property and deception offences,B40 Theft,"14,797"
2014,September,Male,18-44 years,B Property and deception offences,B50 Deception,348
2014,September,Male,18-44 years,A Crimes against the person,A20 Assault and related offences,"3,284"
2014,September,Male,18-44 years,A Crimes against the person,A30 Sexual offences,133
2014,September,Male,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",484
2014,September,Male,18-44 years,A Crimes against the person,Other crimes against the person,429
2014,September,Male,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,942"
2014,September,Male,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"3,748"
